"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"185","Southeast Arkansas College",1,1,2320,4360,12237,NA,"22700",1,0.0015,0.4132,0.0035,0.0125,0.8315,NA,8595,4844
"186","Professional Cosmetology Education Center",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"187","Pulaski Technical College",1,1,2780,4310,11941,NA,"25100",1,0.4211,0.5127,0.0071,0.0286,NA,NA,8411,4866
"188","University of Arkansas Community College-Hope",1,1,1866,3696,9241,NA,"19600",1,0.5539,0.3665,0.0054,0.0337,NA,NA,4956,4369
"189","Rich Mountain Community College",1,1,1400,4160,7118,NA,"19900",1,0,0,0,0,NA,NA,2842,5012
"190","Paul Mitchell The School-Arkansas",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"191","Searcy Beauty College Inc",1,1,NA,NA,NA,NA,"11600",3,0.9273,0.0727,0,0,NA,NA,NA,NA
"192","Williams Baptist College",3,1,11400,11400,18965,0.5739,"29300",2,0.9568,0.0138,0.002,0.0059,0.6418,1010,NA,4427
"193","South Arkansas Community College",1,1,1792,3496,9185,NA,"23000",1,0,0,0,0,NA,NA,5489,4662
"194","Southern Arkansas University Main Campus",3,1,6066,8706,14881,0.3162,"28800",1,0,0,0,0,0.7376,990,9359,5381
"195","Southern Arkansas University Tech",1,1,3180,4500,10929,NA,"23200",1,0.6065,0.3558,0.0041,0.0183,NA,NA,9141,4353
"196","Velvatex College of Beauty Culture",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,1,0,0,NA,NA,NA,NA
"197","University of Arkansas-Fort Smith",2,1,4600,10000,12811,0.1848,"25800",1,0.7132,0.041,0.0386,0.0529,0.6137,1010,8036,5848
"198","Abram Friedman Occupational Center",1,0,NA,NA,NA,NA,NA,1,0.0326,0.1269,0.021,0.8111,NA,NA,NA,NA
"199","Academy of Art University",3,1,18050,18050,32267,0.3349,"27800",3,0.3397,0.0555,0.0979,0.084,NA,NA,NA,6577
"200","ITT Technical Institute-Rancho Cordova",2,0,17148,17148,25460,0.3229,"30900",3,0,0.1204,0.0068,0,0.5141,NA,NA,5402
"201","Academy of Chinese Culture and Health Sciences",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,NA
"202","The Academy of Radio and TV Broadcasting",1,1,NA,NA,NA,NA,"23500",3,0,0,0,0,NA,NA,NA,NA
"203","Alameda Beauty College",1,1,NA,NA,NA,NA,"16700",3,0,0,0,0,1,NA,NA,NA
"204","College of Alameda",2,1,732,5332,9065,NA,"26100",1,0.1234,0.2088,0.258,0.1011,NA,NA,4241,8302
"205","Allan Hancock College",2,1,782,6082,10686,NA,"25400",1,0.4179,0.0325,0.0437,0.4107,NA,NA,5784,8016
"206","American Baptist Seminary of the West",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4698
"207","American Film Institute Conservatory",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,6835
"208","American Beauty College",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"209","American InterContinental University",3,0,NA,NA,NA,0.2222,"36400",3,0,0.0133,0.08,0,NA,NA,NA,5042
"210","American Career College",1,1,NA,NA,NA,NA,"29000",3,0.0522,0.1542,0.0556,0.3628,0.8639,NA,NA,4415
"211","American Conservatory Theater",1,1,NA,NA,NA,NA,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,6255
"212","American River College",2,1,654,5214,10198,NA,"23700",1,0.4729,0.0881,0.0915,0.163,NA,NA,5754,8062
"213","Everest College-Hayward",1,0,NA,NA,NA,NA,"20500",3,0.1007,0.4439,0.0776,0.264,0.8697,NA,NA,NA
"214","Antelope Valley College",2,1,780,6480,11364,NA,"23700",1,0.2641,0.1593,0.0353,0.2325,NA,NA,6693,8250
"215","Art Center College of Design",3,1,31576,31576,52008,0.6774,"35000",2,0.2614,0.0199,0.3798,0.0923,0.6631,NA,NA,6636
"216","Associated Technical College",1,1,NA,NA,NA,NA,"22600",3,0.0237,0.3,0.0158,0.6605,0.9618,NA,NA,NA
"217","Associated Technical College",1,1,NA,NA,NA,NA,"15300",3,0,0,0,0,NA,NA,NA,NA
"218","Azusa Pacific University",3,1,27750,27750,38918,0.6633,"43800",2,0.5981,0.0546,0.0796,0.1543,0.626,1087,NA,6847
"219","Bakersfield College",2,1,662,5486,6710,NA,"22600",1,0.3391,0.0706,0.0568,0.4453,NA,NA,2207,9065
