"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"5622","River Parishes Community College",2,1,2014,4860,9827,NA,"21600",1,0.5834,0.3713,0.0042,0.0151,NA,NA,7935,4007
"5623","Los Angeles Film School",1,1,NA,NA,NA,NA,NA,3,0,0,0,0,NA,NA,NA,4164
"5624","Argosy University-Orange County",3,0,18732,18732,NA,NA,"36000",3,0,0,0,0,NA,NA,NA,5339
"5625","John Dewey College",1,1,8253,8253,8171,NA,"15500",2,0,0,0,0,NA,NA,NA,NA
"5626","National American University-Bloomington",3,1,13415,13415,17062,0.1905,"31400",3,0.2049,0.1803,0.0328,0.0205,NA,NA,NA,7368
"5627","A.B.I. School of Barbering & Cosmetology of Chelsea Inc.",1,0,NA,NA,NA,NA,"13500",3,0.1353,0.3083,0.015,0.5113,0.9548,NA,NA,NA
"5628","Century College",1,1,6475,6475,9253,NA,"15700",3,0,0,0,0,NA,NA,NA,NA
"5629","Connecticut Training Centers Inc",1,0,NA,NA,NA,NA,"18400",2,0,0,0,0,NA,NA,NA,NA
"5630","FINE Mortuary College LLC",2,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.8684,0.0395,0.0132,0.0789,NA,NA,NA,4500
"5631","International Baptist College",3,1,9660,9660,20671,0.3125,"PrivacySuppressed",2,0.7808,0.0274,0.0137,0.1096,NA,NA,NA,2498
"5632","The Medical Arts School",1,1,NA,NA,NA,NA,"23700",3,0.2391,0.6739,0,0.0543,NA,NA,NA,NA
"5633","Fortis College",1,1,NA,NA,NA,NA,"18700",3,0.784,0.136,0,0.04,NA,NA,NA,NA
"5634","Medical Training College",1,1,NA,NA,NA,NA,"19800",3,0,0,0,0,NA,NA,NA,NA
"5635","Professional Training Centers",1,1,NA,NA,NA,NA,"24700",3,0,0.0168,0,0.9706,NA,NA,NA,3766
"5636","Toni & Guy Hairdressing Academy",1,1,NA,NA,NA,NA,"20700",3,0,0,0,0,1,NA,NA,NA
"5637","Universal Career Community College Inc",1,0,9400,9400,10108,NA,"14000",3,0,0,0,0,NA,NA,NA,NA
"5638","University of Connecticut-Tri-Campus",0,1,8202,23802,11116,0.5027,"44800",1,0,0,0,0,0.5095,1009,7072,11403
"5639","University of Connecticut-Avery Point",0,1,8202,23802,11518,0.5298,"44800",1,0,0,0,0,0.5699,1034,9036,11403
"5640","University of Connecticut-Stamford",0,1,8212,23812,11035,0.5541,"44800",1,0,0,0,0,0.4321,1010,7030,11403
"5641","Capri Institute of Hair Design",1,0,NA,NA,NA,NA,"21000",3,0,0,0,0,NA,NA,NA,NA
"5642","ITT Technical Institute-Saint Rose",2,0,17148,17148,25597,0.3167,"29100",3,0,0.0694,0,0,0.5015,NA,NA,5400
"5643","ITT Technical Institute-Richmond",2,0,17148,17148,24924,0.1875,"30200",3,0,0.0564,0,0,0.4128,NA,NA,4570
"5644","Baton Rouge Community College",2,1,1938,4746,6108,NA,"23600",1,0,0,0,0,NA,NA,1664,4991
"5645","ITT Technical Institute-Lathrop",2,0,17148,17148,25184,0.4159,"31400",3,0,0.0407,0.0014,0,0.5031,NA,NA,5268
"5646","International Yacht Restoration School",1,1,NA,NA,NA,NA,"PrivacySuppressed",2,0,0,0,0,0.7805,NA,NA,NA
"5647","Linfield College-Portland Campus",3,1,NA,NA,NA,0.7609,"43300",2,0,0,0,0,NA,NA,NA,6646
"5648","Linfield College-Adult Degree Program",3,0,NA,NA,NA,NA,"43300",2,0,0,0,0,NA,NA,NA,4809
"5649","Academy of Massage Therapy",1,0,NA,NA,NA,NA,"30400",3,0.2524,0.1602,0.0777,0.4612,NA,NA,NA,NA
"5650","Remington College-San Diego Campus",1,0,NA,NA,NA,0.347,"26400",3,0.2051,0.1282,0.0769,0.4103,NA,NA,NA,NA
"5651","Culinary Academy of Long Island",1,1,NA,NA,NA,NA,"32500",3,0,0,0,0,NA,NA,NA,NA
"5652","Midwest Technical Institute",1,1,NA,NA,NA,NA,"26100",3,0,0,0,0,NA,NA,NA,NA
"5653","Oklahoma Health Academy",1,0,NA,NA,NA,NA,"16100",3,0,0,0,0,NA,NA,NA,NA
"5654","Oklahoma Health Academy",1,0,13128,13128,21854,NA,"20600",3,0,0,0,0,NA,NA,NA,NA
"5655","Advanced Barber College and Hair Design",1,1,NA,NA,NA,NA,"13400",3,0.0085,0.0085,0,0.9829,NA,NA,NA,NA
"5656","Academy of Health Care Professions",1,1,NA,NA,NA,NA,"24700",3,0,0,0,0,1,NA,NA,NA
"5657","The English Center",1,1,8710,8710,21103,NA,"24000",2,0.1364,0.0606,0.6591,0.1439,0.7759,NA,NA,NA
"5658","ICDC College",1,1,NA,NA,NA,NA,"18500",3,0.0515,0.1625,0.0273,0.6165,NA,NA,NA,3607
"5659","Monteclaro Escuela de Hoteleria y Artes Culinarias",1,1,NA,NA,NA,NA,"PrivacySuppressed",2,0,0,0,1,0.8125,NA,NA,NA
"5660","New Community Workforce Development Center",1,0,NA,NA,NA,NA,"18100",2,0.012,0.7928,0,0.0438,NA,NA,NA,NA
"5661","Dallas Nursing Institute",1,1,NA,NA,NA,NA,"25800",3,0.1343,0.6269,0.0821,0.0522,0.6193,NA,NA,NA
"5662","Professional Golfers Career College",2,1,11180,11180,17640,NA,"26800",3,0,0,0,0,NA,NA,NA,4783
"5663","Richmond School of Health and Technology",1,1,NA,NA,NA,NA,"26700",3,0,0,0,0,NA,NA,NA,4150
"5664","Milan Institute",1,1,NA,NA,NA,NA,"15800",3,0.1815,0.0783,0.0107,0.7046,NA,NA,NA,NA
"5665","Westwood College-Anaheim",3,1,14212,14212,26022,0.5,"29900",3,0.0804,0.005,0.0398,0.3781,NA,NA,NA,4848
"5666","Rudae's School of Beauty Culture",1,1,NA,NA,NA,NA,"13900",3,0,0,0,0,NA,NA,NA,NA
"5667","Intercoast Colleges",1,0,NA,NA,NA,NA,"20800",3,0.2308,0.1077,0.0154,0.6308,NA,NA,NA,NA
"5668","Western Career College-Antioch/Walnut Creek",1,0,NA,NA,NA,NA,"27100",3,0.2799,0.1775,0.0648,0.1519,1,NA,NA,6229
"5669","Western Career College-San Jose",1,1,NA,NA,NA,NA,"27100",3,0.2313,0.0472,0.1821,0.3839,1,NA,NA,6170
"5670","Lincoln Technical Institute",1,0,NA,NA,NA,NA,"36900",3,0,0,0,0,1,NA,NA,NA
"5671","Stevens-Henager College",3,1,14500,14500,17234,0.3613,"25400",3,0.8178,0.0346,0.0251,0.0848,NA,NA,NA,3975
"5672","Brookline College",1,1,NA,NA,NA,NA,"21100",3,0,0,0,0,NA,NA,NA,3318
"5673","Everest Institute-Jonesboro",1,0,NA,NA,NA,NA,"21900",3,0.0121,8e-04,0.0209,0.0692,0.5481,NA,NA,NA
"5674","McCann School of Business and Technology",2,1,12321,12321,19770,NA,"22000",3,0.8301,0.034,0.0022,0.0743,NA,NA,NA,3647
"5675","Western Career College-Pleasant Hill",1,1,NA,NA,NA,NA,"27100",3,0.4813,0.148,0.1415,0.1691,1,NA,NA,3351
"5676","Ridley-Lowell School of Business",1,0,NA,NA,NA,NA,"25100",3,0.4302,0.3682,0,0.093,NA,NA,NA,NA
"5677","Florida College of Natural Health",1,1,NA,NA,NA,NA,"22500",3,0,0,0,0,NA,NA,NA,3955
"5678","Florida College of Natural Health",1,0,NA,NA,NA,NA,"22500",3,0,0,0,0,NA,NA,NA,4696
"5679","Modern Hairstyling Institute",1,1,NA,NA,NA,NA,"13400",3,0,0,0,0,0.9,NA,NA,NA
"5680","University of Phoenix-Southern Colorado Campus",3,0,9000,9000,29602,0.1818,"45000",3,0,0,0,0,NA,NA,NA,3830
"5681","University of Phoenix-West Michigan Campus",3,1,10128,10128,27814,0.1171,"45000",3,0,0,0,0,NA,NA,NA,3237
"5682","Stratford University",2,1,17680,17680,29153,0.3095,"28300",3,0.2125,0.5284,0.0844,0.1194,NA,NA,NA,4572
"5683","Universal Technical Institute of California Inc",1,1,NA,NA,NA,NA,"35900",3,0.2152,0.0411,0.071,0.5708,NA,NA,NA,NA
"5684","American InterContinental University",3,1,15450,15450,30100,0.1757,"36400",3,0.0426,0.4298,0.0069,0,0.9912,NA,NA,5587
"5685","American InterContinental University",3,1,16574,16574,23959,0.2391,"36400",3,0.0589,0.3759,0.0113,0,0.6378,NA,NA,5192
"5686","University of Phoenix-Philadelphia Campus",3,0,11400,11400,28704,0.0971,"45000",3,0,0,0,0,NA,NA,NA,3002
"5687","University of Phoenix-Pittsburgh Campus",3,0,11400,11400,28503,0.0769,"45000",3,0,0,0,0,NA,NA,NA,3172
"5688","Everest Institute-Decatur",1,0,NA,NA,NA,NA,"20500",3,0,0,0,0,0.424,NA,NA,4618
"5689","Evereest College-Chesapeake",1,1,28890,28890,41400,NA,"18900",3,0.177,0.6688,0.0152,0.043,0.5462,NA,NA,2447
"5690","Everest Institute-Greenspoint",1,1,NA,NA,NA,NA,"20200",3,0,0,0,0,0.5756,NA,NA,NA
"5691","The Academy of Hair Design Six",1,1,NA,NA,NA,NA,"13800",3,0,0,0,0,NA,NA,NA,NA
"5692","Eastern West Virginia Community and Technical College",2,1,2064,6720,10042,NA,NA,1,0,0,0,0,NA,NA,7170,3481
"5693","Aviation Institute of Maintenance-Indianapolis",1,1,NA,NA,NA,NA,"32900",3,0.6043,0.2781,0.016,0.0321,NA,NA,NA,NA
"5694","Branford Hall Career Institute-Springfield Campus",1,1,NA,NA,NA,NA,"26100",3,0.4081,0.1405,0.0134,0.2717,NA,NA,NA,NA
"5695","Remington College-Little Rock Campus",1,0,13950,13950,25097,NA,"19500",3,0.0939,0.4598,0.0019,0.0287,0.5417,NA,NA,3541
"5696","Valley Career College",1,0,NA,NA,NA,NA,"21400",3,0.4207,0.1899,0.0529,0.2957,0.8527,NA,NA,NA
"5697","Everest University-Jacksonville",1,0,13536,13536,15096,0.2813,"22500",3,0.1759,0.3805,0.008,0.0512,0.7582,NA,NA,3404
"5698","Harrison College-Fort Wayne",2,1,11535,11535,19703,0.4103,"21300",3,0.8174,0.1202,0.0198,0.0152,1,NA,NA,3328
"5699","IVAEM College",1,1,NA,NA,NA,NA,"16300",3,0,0,0,1,NA,NA,NA,NA
"5700","Lincoln Technical Institute",1,0,NA,NA,NA,NA,"36900",3,0,0,0,0,1,NA,NA,NA
"5701","Argosy University-Seattle",3,1,18732,18732,26852,NA,"36000",3,0,0,0,0,NA,NA,NA,5518
"5702","Texas School of Business-Friendswood Inc",1,1,NA,NA,NA,NA,"20900",3,0.0309,0.0103,0,0.0722,NA,NA,NA,3179
"5703","ITT Technical Institute-Woburn",2,0,17148,17148,24779,NA,"30700",3,0,0.075,0,0,0.4282,NA,NA,6248
"5704","Pierce College at Puyallup",2,1,2931,8115,10729,NA,"29200",1,0.7163,0.0321,0.0396,0.068,NA,NA,6707,5278
"5705","DeVry University-Florida",3,1,14592,14592,28387,0.3082,"40300",3,0.313,0.2627,0.0191,0.2995,0.6753,NA,NA,5542
"5706","Cascadia Community College",2,1,3075,8259,10439,NA,"33500",1,0.6646,0.0144,0.0495,0.0645,NA,NA,5278,5807
"5707","University of Phoenix-St Louis Campus",3,1,10632,10632,27481,0.1013,"45000",3,0,0,0,0,NA,NA,NA,3473
"5708","Johnson & Wales University-Denver",2,1,23490,23490,32791,0.541,"30700",2,0,0,0,0,0.7137,NA,NA,5646
"5709","University of Phoenix-Cleveland Campus",3,0,10632,10632,25791,0.1053,"45000",3,0,0,0,0,NA,NA,NA,3426
"5710","Du Bois Business College",2,1,9930,9930,14555,NA,"20600",3,0.963,0.0247,0,0.0123,NA,NA,NA,2464
"5711","Du Bois Business College",2,1,9930,9930,19555,NA,"20600",3,1,0,0,0,NA,NA,NA,2365
"5712","DeVry University-Maryland",3,0,14592,14592,27164,NA,"PrivacySuppressed",3,0.1324,0.4706,0.0294,0.2059,0.6471,NA,NA,NA
"5713","Community Based Education and Development DBA CBD College",1,1,NA,NA,NA,NA,"14600",2,0,0,0,0,NA,NA,NA,7040
"5714","East West College of Natural Medicine",4,1,NA,NA,NA,NA,"PrivacySuppressed",3,NA,NA,NA,NA,NA,NA,NA,3977
"5715","J & J Hair Design College",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"5716","Americare School of Nursing",1,1,NA,NA,NA,NA,"25900",3,0.3284,0.3881,0.0328,0.2239,NA,NA,NA,3598
"5717","Atlantic Institute of Oriental Medicine",3,1,NA,NA,NA,NA,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,3493
"5718","ATS Institute of Technology",1,1,16895,16895,28628,NA,"22500",3,0.2799,0.7125,0.0076,0,0.8217,NA,NA,NA
"5719","Bennett Career Institute",1,1,NA,NA,NA,NA,"29900",3,0,1,0,0,NA,NA,NA,NA
"5720","Blue Cliff College-Shreveport",1,0,14344,14344,24067,NA,"18700",3,0,0,0,0,NA,NA,NA,2222
"5721","Blue Cliff College-Lafayette",1,0,14344,14344,18401,NA,"22200",3,0.5946,0.3514,0.009,0.027,NA,NA,NA,2348
"5722","Career Quest",1,1,NA,NA,NA,NA,"23800",3,0,0,0,0,NA,NA,NA,NA
"5723","Central Florida Institute",1,0,NA,NA,NA,NA,"25300",3,0.6751,0.0806,0.0265,0.1233,NA,NA,NA,2998
"5724","Community Care College",1,1,NA,NA,NA,NA,"17800",3,0,0,0,0,NA,NA,NA,3478
"5725","B Street Design-School International Hair Styling-Topeka",1,1,NA,NA,NA,NA,"16400",3,0,0,0,0,NA,NA,NA,NA
"5726","Coryell Cosmetology College",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"5727","Crossroads Bible College",3,1,12220,12220,17470,0.3846,"23500",2,0,0,0,0,NA,NA,NA,3151
"5728","Erie 1 BOCES",1,1,NA,NA,NA,NA,"34200",1,0.72,0.25,0,0.03,1,NA,NA,NA
"5729","Fayette Beauty Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.4737,0.4737,0,0.0526,NA,NA,NA,NA
"5730","Harlem School of Technology Inc",1,0,NA,NA,NA,NA,"33000",3,0,0,0,0,NA,NA,NA,NA
"5731","HDS Truck Driving Institute",1,1,NA,NA,NA,NA,"19600",3,0.5143,0.1238,0.0095,0.3143,NA,NA,NA,NA
"5732","International Training Careers",1,1,NA,NA,NA,NA,"17000",2,0,0,0,1,0.7982,NA,NA,NA
"5733","James Albert School of Cosmetology",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.6377,0,0.058,0.2754,NA,NA,NA,NA
"5734","King's College and Seminary",1,1,9150,9150,18972,0,"28600",2,0.2514,0.0559,0.0279,0.0223,0.7857,NA,NA,5093
"5735","Lacy Cosmetology School",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.6667,0.3333,0,0,1,NA,NA,NA
"5736","Medvance Institute of Baton Rouge",1,1,NA,NA,NA,NA,"22100",3,0.3393,0.63,0.0077,0.0064,NA,NA,NA,3681
"5737","My Le's Beauty College",1,1,NA,NA,NA,NA,"12600",3,0.05,0.025,0.8417,0.0833,NA,NA,NA,NA
"5738","NAWCC School of Horology",1,0,NA,NA,NA,NA,"PrivacySuppressed",2,0.8421,0.1053,0,0,NA,NA,NA,NA
"5739","New Concept Massage and Beauty School",1,1,NA,NA,NA,NA,"14000",3,0,0,0,0,NA,NA,NA,NA
"5740","New York College of Traditional Chinese Medicine",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,0.169,0.0563,0.6761,0.0141,NA,NA,NA,5451
"5741","Fortis College",2,1,NA,NA,NA,NA,"21700",3,0.57,0.2529,0.0311,0.1051,NA,NA,NA,2406
"5742","Northeastern Seminary",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,6537
"5743","Bryan College",2,1,NA,NA,NA,NA,"29000",3,0.5252,0.1583,0.0573,0.1537,0.6267,NA,NA,4000
"5744","Omega Institute of Cosmetology",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.8246,0.0877,0.0175,0.0175,NA,NA,NA,NA
"5745","Pacific Islands Bible College",3,1,6913,6913,14366,0.9375,"PrivacySuppressed",2,0.0426,0,0.0106,0,0.6944,NA,NA,1087
"5746","PCI College",1,1,NA,NA,NA,NA,"26600",3,0,0,0,0,NA,NA,NA,NA
"5747","Rosedale Bible College",2,1,7755,7755,18382,NA,"PrivacySuppressed",2,0,0,0,0,0.8846,NA,NA,3581
"5748","St. Francis Career College",1,1,NA,NA,NA,NA,"40000",2,0.0224,0.194,0.0821,0.6567,0.2525,NA,NA,NA
"5749","Seattle Institute of Oriental Medicine",4,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3913
"5750","Shawnee Beauty College",1,1,NA,NA,NA,NA,"15100",3,0,0,0,0,NA,NA,NA,NA
"5751","Acupuncture and Massage College",1,1,10465,10465,23337,1,"24500",3,0.3039,0.0882,0.0196,0.5882,0.8333,NA,NA,4348
"5752","Southeastern School of Cosmetology",1,1,NA,NA,NA,NA,"13800",2,0.0169,0.9831,0,0,NA,NA,NA,NA
"5753","Universal Therapeutic Massage Institute",1,1,NA,NA,NA,NA,"18900",3,0,0,0,0,NA,NA,NA,NA
"5754","Upper Valley Educators Institute",0,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,NA
"5755","Keck Graduate Institute",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11490
"5756","Aviation Institute of Maintenance-Atlanta",1,1,34720,34720,44471,NA,"32000",3,0.2766,0.5794,0.028,0.0766,NA,NA,NA,NA
"5757","National Beauty College",1,1,NA,NA,NA,NA,"15300",3,0,0,0,0,NA,NA,NA,NA
"5758","Empire Beauty School-Kennesaw",1,1,NA,NA,NA,NA,"17200",3,0.1143,0.5524,0,0.0762,NA,NA,NA,NA
"5759","High-Tech Institute-Nashville",1,0,NA,NA,NA,NA,"24300",3,0.6352,0.288,0.008,0.0448,NA,NA,NA,2481
"5760","High-Tech Institute-Dallas",1,0,NA,NA,NA,NA,"24800",3,0.2855,0.256,0.0201,0.3472,NA,NA,NA,NA
"5761","Westwood College-River Oaks",1,1,15820,15820,21554,0.3158,"23500",3,0.114,0.6563,0.0035,0.1278,1,NA,NA,3958
"5762","ITT Technical Institute-Green Bay",2,0,17148,17148,24998,0.4017,"29100",3,0,0.0078,0.0029,0,0.557,NA,NA,5100
"5763","Career Training Academy",1,1,NA,NA,NA,NA,"20200",3,0,0,0,0,NA,NA,NA,1624
"5764","Huntingdon County Career and Technology Center",1,1,NA,NA,NA,NA,"PrivacySuppressed",1,1,0,0,0,0.4186,NA,NA,NA
"5765","Missouri College of Cosmetology North",1,1,NA,NA,NA,NA,"13900",3,0,0,0,0,NA,NA,NA,NA
"5766","Keyskills Learning",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.2903,0.2581,0.0484,0.4032,NA,NA,NA,NA
"5767","Ivy Tech Community College-Bloominton",2,0,3090,6306,14435,NA,"24300",1,0,0,0,0,NA,NA,11443,4768
"5768","Midwest University",3,0,NA,NA,NA,NA,NA,2,0,0,1,0,NA,NA,NA,NA
"5769","New York Automotive and Diesel Institute",1,1,NA,NA,NA,NA,"26700",3,0,0,0,0,NA,NA,NA,NA
"5770","Remington College-Baton Rouge",1,0,13950,13950,25267,NA,"21100",3,0.2646,0.7104,0.0063,0.0146,0.6605,NA,NA,3166
"5771","Everest College-Ontario Metro",2,0,12681,12681,23280,0.4145,"21800",3,0.1187,0.1207,0.0659,0.6673,0.8896,NA,NA,3435
"5772","Metropolitan Community College-Blue River",2,1,2460,5850,5558,NA,"25500",1,0.7654,0.0408,0.006,0.0484,NA,NA,3634,5563
"5773","Texas Careers-Beaumont",1,1,NA,NA,NA,NA,"18000",3,0.4906,0.3703,0.0038,0.0658,NA,NA,NA,3144
"5774","Texas Careers-Laredo",1,1,NA,NA,NA,NA,"18000",3,0.0053,0,0,0.9605,NA,NA,NA,2906
"5775","The Art Institute of Washington",3,1,27616,27616,46349,0.2985,"25000",3,0,0,0,0,0.4747,NA,NA,4792
"5776","Everest Institute-Dearborn",1,1,NA,NA,NA,NA,"17300",3,0,0,0,0,0.6616,NA,NA,NA
"5777","Centura College",2,0,NA,NA,NA,NA,"21200",3,0,0,0,0,NA,NA,NA,4269
"5778","Arkansas State University-Newport",1,0,1920,3144,10236,NA,"26200",1,0,0,0,0,NA,NA,6585,4050
"5779","Marlboro College Graduate School",3,1,NA,NA,NA,NA,"18500",2,0,0,0,0,NA,NA,NA,6544
"5780","University of Phoenix-Boston Campus",3,1,11400,11400,28503,0.1316,"45000",3,0,0,0,0,NA,NA,NA,2523
"5781","University of Phoenix-Dallas Campus",3,1,10128,10128,27231,0.1563,"45000",3,0,0,0,0,NA,NA,NA,4070
"5782","University of Phoenix-Houston Campus",3,1,10128,10128,27231,0.2016,"45000",3,0,0,0,0,NA,NA,NA,3274
"5783","University of Phoenix-Milwaukee Campus",3,0,10128,10128,27538,0.0909,"45000",3,0,0,0,0,NA,NA,NA,3866
"5784","University of Phoenix-Idaho Campus",3,0,9360,9360,27296,0.1098,"45000",3,0,0,0,0,NA,NA,NA,2279
"5785","Westwood College-Inland Empire",3,1,14212,14212,25803,0.4113,"29900",3,0.1412,0.0816,0.0193,0.6193,NA,NA,NA,4730
"5786","DeVry University-Virginia",3,1,14592,14592,28225,0.2105,"40300",3,0.2294,0.4924,0.0386,0.1147,0.5895,NA,NA,6422
"5787","DeVry University-Washington",3,1,14592,14592,29501,0.2671,"40300",3,0.568,0.111,0.0806,0.0872,0.6345,NA,NA,5202
"5788","DeVry University-Colorado",3,1,14592,14592,29763,0.3439,"40300",3,0.6249,0.0943,0.0317,0.1343,0.7869,NA,NA,5121
"5789","Louisiana Delta Community College",2,1,2142,3366,13553,NA,NA,1,0,0,0,0,NA,NA,9584,4184
"5790","ITT Technical Institute-Bensalem",2,0,17148,17148,24784,NA,"31200",3,0,0.1001,0.003,0,0.5333,NA,NA,5057
"5791","Atenas College",1,1,4755,4755,13008,0.7278,"15600",2,0,0,0,1,NA,NA,NA,1711
"5792","Southwest Skill Center-Campus of Estrella Mountain Community College",1,0,NA,NA,NA,NA,"29400",1,0,0,0,0,NA,NA,NA,NA
"5793","Onondaga Cortland Madison BOCES",1,1,NA,NA,NA,NA,"30900",1,0.852,0.1042,0.0164,0.011,NA,NA,NA,NA
"5794","National American University-Ellsworth AFB Extension",3,1,6004,6004,9812,0.75,"31400",3,0.5365,0.0938,0.0156,0.0417,NA,NA,NA,NA
"5795","National American University-Rio Rancho",3,1,11795,11795,15482,0.4286,"31400",3,0.2444,0.0533,0,0.2133,NA,NA,NA,NA
"5796","National American University-Brooklyn Center",3,1,13415,13415,18156,0.1579,"31400",3,0.1761,0.1908,0.0419,0.0147,NA,NA,NA,NA
"5797","Interactive Learning Systems",1,1,NA,NA,NA,NA,"20900",3,0.2571,0,0,0.7429,NA,NA,NA,NA
"5798","Somerset Christian College",3,1,11294,11294,17423,0.65,"PrivacySuppressed",2,0.3544,0.4008,0.0211,0.1941,0.3976,NA,NA,5051
"5799","Miami Ad School-Minneapolis",1,1,NA,NA,NA,NA,"53000",3,0.8056,0.0139,0.0694,0,NA,NA,NA,NA
"5800","Miami Ad School-San Francisco",1,1,NA,NA,NA,NA,"53000",3,0,0,0,0,NA,NA,NA,NA
"5801","Oregon State University-Cascades Campus",0,1,NA,NA,NA,NA,"36000",1,0,0,0,0,NA,NA,NA,9410
"5802","Milan Institute",1,1,NA,NA,NA,NA,"20600",3,0.6337,0.0189,0.0253,0.2379,NA,NA,NA,NA
"5803","Milan Institute",1,1,NA,NA,NA,NA,"20600",3,0.4416,0.0779,0.013,0.3939,NA,NA,NA,NA
"5804","Vatterott Career College-Memphis",2,1,11496,11496,19204,NA,"24700",3,0.0452,0.9377,0.0047,0.0078,NA,NA,NA,3953
"5805","Vatterott College-Tulsa",1,1,9650,9650,20139,NA,"24700",3,0.6062,0.2708,0.0062,0.0554,NA,NA,NA,3666
"5806","Vatterott College-Wichita",1,1,10500,10500,20759,NA,"24700",3,0.6538,0.2324,0.0218,0.0678,NA,NA,NA,3623
"5807","Southern University Law Center",4,0,NA,NA,NA,NA,"25600",1,NA,NA,NA,NA,NA,NA,NA,9486
"5808","International Academy of Design and Technology",3,1,16850,16850,27123,0.2638,"24700",3,0.1873,0.1409,0.0169,0,NA,NA,NA,3696
"5809","Lincoln Technical Institute",1,0,17454,17454,24690,NA,"26400",3,0.2884,0.0313,0.098,0.351,NA,NA,NA,NA
"5810","Everest College-Vancouver Campus",1,0,NA,NA,NA,NA,"21800",3,0.7923,0.029,0.0048,0.0531,0.9155,NA,NA,NA
"5811","Texas Barber Colleges and Hairstyling Schools",1,1,NA,NA,NA,NA,"15400",3,0.0727,0.7753,0.0036,0.1076,NA,NA,NA,NA
"5812","Everest Institute-Hobby",1,1,NA,NA,NA,NA,"20200",3,0.0633,0.3465,0.0053,0.5682,0.3773,NA,NA,NA
"5813","Miller-Motte Technical College",2,1,13225,13225,19286,NA,"20600",3,0.3299,0.603,0.0093,0.015,0.7684,NA,NA,3189
"5814","American Career College",1,1,NA,NA,NA,NA,"29000",3,0.0985,0.0393,0.0719,0.2782,0.7693,NA,NA,4923
"5815","Saginaw Chippewa Tribal College",2,1,2040,2040,NA,NA,"PrivacySuppressed",1,0,0,0,0,NA,NA,NA,5174
"5816","Wyo Tech-Blairsville",1,1,NA,NA,NA,NA,"35000",3,0,0,0,0,NA,NA,NA,3693
"5817","Richmont Graduate University",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5045
"5818","Mars Hill Graduate School",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7263
"5819","Northwest College of Hair Design",1,1,NA,NA,NA,NA,"15600",3,0,0,0,0,NA,NA,NA,NA
"5820","San Diego State University-Imperial Valley Campus",3,1,4260,15420,NA,NA,"39300",1,0,0,0,0,0.3116,825,NA,9260
"5821","American Broadcasting School",1,1,NA,NA,NA,NA,"23100",3,0.2933,0.5467,0,0.1467,NA,NA,NA,NA
"5822","Miami-Jacobs Career College",2,0,12268,12268,16728,NA,"23400",3,0.5063,0.3924,0,0.0127,0.8378,NA,NA,3670
"5823","East Valley Institute of Technology",1,1,NA,NA,NA,NA,"PrivacySuppressed",1,0,0,0,0,NA,NA,NA,NA
"5824","West Coast Ultrasound Institute",1,1,19275,19275,30354,NA,"46100",3,0,0,0,0,NA,NA,NA,NA
"5825","Design's School of Cosmetology",1,1,NA,NA,NA,NA,"15100",3,0.55,0.0833,0.0667,0.2167,NA,NA,NA,NA
"5826","Paul Mitchell the School-Santa Barbara",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"5827","University of the Rockies",4,1,NA,NA,NA,NA,"PrivacySuppressed",3,NA,NA,NA,NA,NA,NA,NA,5087
"5828","Vinal Regional Vocational-Technical School",0,1,NA,NA,NA,NA,"PrivacySuppressed",1,NA,NA,NA,NA,NA,NA,NA,NA
"5829","Oliver Wolcott Regional Vocational Technical Sch",0,0,NA,NA,NA,NA,"PrivacySuppressed",1,NA,NA,NA,NA,NA,NA,NA,NA
"5830","Windham Regional Vocational Technical School",0,1,NA,NA,NA,NA,"PrivacySuppressed",1,NA,NA,NA,NA,NA,NA,NA,NA
"5831","Harris School of Business-Wilmington Campus",1,1,NA,NA,NA,NA,"23500",3,0.3107,0.5153,0.0064,0.1125,NA,NA,NA,NA
